n, log_perplexity_baseline, log_perplexity_unroll8, log_perplexity_avx, log_perplexity_avx_acc4, log_perplexity_avx_fma_acc4, joint_probs_baseline, joint_probs_unroll8, joint_probs_avx_fma_acc4
2, 125.674, 139.292, 100.233, 156.187, 161.478, 42436.7, 34974.2, 36766.8
3, 210.525, 215.193, 118.008, 253.869, 258.989, 165114, 110678, 111034
4, 395.532, 400.48, 176.831, 181.12, 177.56, 664089, 394839, 182205
5, 805.82, 764.007, 296.728, 268.559, 272.366, 2.97262e+06, 1.76319e+06, 606170
6, 1688.9, 1494.61, 468.283, 449.421, 441.849, 1.21054e+07, 6.71075e+06, 1.98265e+06
7, 3544.49, 2983.26, 835.824, 796.542, 788.697, 4.93864e+07, 2.62801e+07, 7.09239e+06
8, 7005.15, 5885.41, 1580.64, 1505.83, 1490.41, 1.98964e+08, 1.03495e+08, 2.67843e+07
9, 14393, 11758.5, 3058.47, 2924.09, 2905.73, 8.0388e+08, 4.12561e+08, 1.06424e+08
10, 29004.5, 23578.4, 6096.65, 5771.75, 5735.42, 3.30535e+09, 1.70163e+09, 4.35639e+08
11, 58258.6, 47113.3, 12173.8, 11531.1, 11421.8, 1.41787e+10, 6.95905e+09, 1.75869e+09
12, 117051, 93440.9, 24205.6, 22950.8, 22770.7, 5.8771e+10, 2.84293e+10, 7.15973e+09
13, 229491, 188705, 48634.5, 45814, 45612.5, 2.36848e+11, 1.14636e+11, 2.87757e+10
14, 460575, 385820, 99554.4, 93502.9, 91432.3, 9.62138e+11, 4.77941e+11, 1.23558e+11
15, 936477, 753824, 196211, 185598, 184189, 4.2838e+12, 2.50636e+12, 1.0057e+12
